xml_id;form;action;lemmaRef;pos;beleg
WZB_55rb_23_13;et;ANNOTATE;lemma_78608;ADV;"WZB 16/16 lemma_78608 ADV; das et cetera zwei Tokens davor traegt dasselbe"
WZB_55rb_23_13b;cetera;ANNOTATE;lemma_33125;ADJ;WZB 15/15 lemma_33125 ADJ
WZB_69va_2_2;in;ANNOTATE;lemma_3028;PRP;WZB lemma_3028 2945 PRP/lemma_1517 356 PRO/lemma_5454 284 PRO; in seiner mitte (Ex 15,19 in medio eius): Rektion
WZB_69va_2_2b;seiner;ANNOTATE;lemma_1517;POS;WZB 214/214 lemma_1517 POS
WZB_119rb_13_4;in;ANNOTATE;lemma_3028;PRP;WZB lemma_3028 2945 PRP/lemma_1517 356 PRO/lemma_5454 284 PRO; noch in trovme gelouben (Lev 19,26): Rektion
WZB_119rb_13_4b;trovme;ANNOTATE;lemma_6239;NOM;WZB 12/12 lemma_6239 NOM
WZB_119va_21_2;wenne;ANNOTATE;lemma_7385;SCNJ;WZB 841/841 lemma_7385 SCNJ
WZB_119va_21_2b;ir;ANNOTATE;lemma_56117;PRO;"WZB lemma_56117 693 PRO/468 POS; ir seit: Subjekt"
WZB_124rb_8_4;herren;ANNOTATE;lemma_2684;NOM;WZB 888/888 lemma_2684 NOM
WZB_124rb_8_4b;gote;ANNOTATE;lemma_2465;NOM;WZB 128/128 lemma_2465 NOM
WZB_127rb_20_1;vor;ANNOTATE;lemma_7194;PRP;"WZB 577 PRP/86 ADV; vallen vor euch (Lev 26,7 coram vobis)"
WZB_127rb_20_1b;euch;ANNOTATE;lemma_56117;PRO;WZB 569/569 lemma_56117 PRO
WZB_135va_15_0;vor;ANNOTATE;lemma_7194;PRP;"WZB 577 PRP/86 ADV; opfer vor sie (Num 5,15 pro illa)"
WZB_135va_15_0b;sie;ANNOTATE;lemma_5454;PRO;WZB 1963/1963 lemma_5454 PRO
WZB_143vb_10_4b;einem;ANNOTATE;lemma_1331;DET;"WZB 199 DET/14 NUM; einem topfe: Artikel"
WZB_154rb_14_4;Herre;ANNOTATE;lemma_2684;NOM;WZB 1033/1033 lemma_2684 NOM
WZB_154rb_14_4b;got;ANNOTATE;lemma_2465;NOM;WZB 532/532 lemma_2465 NOM
WZB_158va_11_5;er;ANNOTATE;lemma_1517;PRO;WZB 590/590 lemma_1517 PRO
WZB_158va_11_5b;gabe;ANNOTATE;lemma_1839;NOM;WZB 46/46 lemma_1839 NOM
WZB_162vb_9_1;zu;ANNOTATE;lemma_7770;PRP;WZB 2568/2568 lemma_7770 PRP
WZB_162vb_9_1b;iren;ANNOTATE;lemma_5454;POS;WZB 177/177 lemma_5454 POS
WZB_165vb_33_1;zu;ANNOTATE;lemma_7770;PRP;WZB 2568/2568 lemma_7770 PRP
WZB_165vb_33_1b;den;ANNOTATE;lemma_1119;DET;WZB 2087/2087 lemma_1119 DET
WZB_179ra_5_5;her;ANNOTATE;lemma_1517;PRO;"WZB 1497/1497 lemma_1517 PRO; also tu her allen reichen (Dtn 3,21 sic faciet)"
WZB_179ra_5_5b;allen;ANNOTATE;lemma_106;ADJ;WZB 173/173 lemma_106 ADJ
WZB_219va_16_0;ire;ANNOTATE;lemma_5454;POS;WZB 260 lemma_5454/7 lemma_56116, alle POS
WZB_219va_16_0b;teil;ANNOTATE;lemma_6041;NOM;WZB 105/105 lemma_6041 NOM
WZB_222ra_19_2;vorwar;ANNOTATE;lemma_8989;ADV;"WZB 97/97 lemma_8989 ADV; Jos 8,26 Iosue vero"
WZB_222ra_19_2b;czoch;ANNOTATE;lemma_7861;VRB;WZB 99/99 lemma_7861 VRB
WZB_227ra_19_1;in;ANNOTATE;lemma_3028;PRP;WZB lemma_3028 2945 PRP/lemma_1517 356 PRO/lemma_5454 284 PRO; in salacha (Jos 12,5 in Salecha): Rektion
WZB_116va_14_6;Gen;REVIEW;;;Lev 16,26 Ille vero, qui dimiserit caprum emissarium: 'Gen er vor war, der do hat gelasen den ous gesanten czigen pok'. Gen er steht fuer ille (jener), nicht fuer gegen + er. Welches Lemma, und ist der Split hier richtig?
WZB_116va_14_6b;er;REVIEW;;;Wie WZB_116va_14_6. Der Zweig vom 21.08. hatte lemma_1517 PRO gesetzt, das traegt nur, wenn Gen und er zwei Woerter sind.
WZB_143vb_10_4;ī;REVIEW;;;Num 11,8 coquentes in olla: 'cochte das ī einem topfe'. i mit Nasalstrich fuer in, also lemma_3028 PRP. Gehoert zu den offenen Makron-Tokens aus #235 Punkt 3, deshalb nicht hier entschieden.
WZB_227ra_19_1b;salacha;REVIEW;;;"Jos 12,5 Salecha, Ortsname. Kein Lemma im Lexikon (0 Belege der Form im Korpus); braucht einen Namenseintrag."
