xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_115ra_11_6	sie	Und worinne sie slefet oder	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_115ra_12_2	sitczet	slefet oder sitczet in den	unmatched				
WZB_115ra_12_3	in	oder sitczet in den tagen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_115ra_12_5	tagen	in den tagen irr abscheidunge	ambiguous	lemma_5994|lemma_6003	lemma_5994	high	claude
WZB_115ra_13_1	abscheidunge	tagen irr abscheidunge wirt gemeiligt	unmatched				
WZB_115ra_13_2	wirt	irr abscheidunge wirt gemeiligt Wer	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_115ra_13_3	gemeiligt	abscheidunge wirt gemeiligt Wer ir	unmatched		lemma_18886	high	claude
WZB_115ra_14_2	Wer	wirt gemeiligt Wer ir bette	ambiguous	lemma_5918|lemma_5961|lemma_7482|lemma_7496|lemma_7505|lemma_7643	lemma_7482	high	claude
WZB_115ra_14_3	ir	gemeiligt Wer ir bette an	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_115ra_14_4	bette	Wer ir bette an ruret	ambiguous	lemma_11508|lemma_52148|lemma_615|lemma_621|lemma_634	lemma_634	high	claude
WZB_115ra_14_5	an	ir bette an ruret der	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_115ra_14_8	der	an ruret der wasche sein	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_115ra_15_1	sein	der wasche sein gewant vnd	ambiguous	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432	lemma_1517	medium	claude
WZB_115ra_15_2	gewant	wasche sein gewant vnd er	ambiguous	lemma_2331|lemma_7479	lemma_2331	high	claude
WZB_115ra_15_5	er	gewant vnd er gewaschen in	ambiguous	lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117	lemma_1517	high	claude
WZB_115ra_16_1	in	er gewaschen in wasser wirt	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_115ra_16_4	wirt	in wasser wirt vnreine bis	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_115ra_17_1	bis	wirt vnreine bis zu abende	ambiguous	lemma_10651|lemma_5432|lemma_9197	lemma_10651	high	claude
WZB_115ra_17_6	Ein	zu abende Ein yclich vas	ambiguous	lemma_119|lemma_13|lemma_1331|lemma_2975	lemma_1331	high	claude
WZB_115ra_18_3	dem	vas ouf dem sie siczet	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_115ra_18_4	sie	ouf dem sie siczet welcher	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_115ra_19_1	das	siczet welcher das an ruret	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_115ra_19_2	an	welcher das an ruret Der	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_115ra_19_6	Der	an ruret Der wasche sein	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_115ra_20_1	sein	Der wasche sein gewant Und	ambiguous	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432	lemma_1517	medium	claude
WZB_115ra_20_2	gewant	wasche sein gewant Und er	ambiguous	lemma_2331|lemma_7479	lemma_2331	high	claude
WZB_115ra_20_5	er	gewant Und er gewaschen in	ambiguous	lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117	lemma_1517	high	claude
WZB_115ra_21_1	in	er gewaschen in wasser wirt	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_115ra_21_4	wirt	in wasser wirt vnrein bis	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_115ra_22_1	bis	wirt vnrein bis zu abende	ambiguous	lemma_10651|lemma_5432|lemma_9197	lemma_10651	high	claude
WZB_115ra_23_0	das	Ist d das der man	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_115ra_23_1	der	d das der man mit	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_115ra_23_2	man	das der man mit ir	ambiguous	lemma_3909|lemma_3957|lemma_3958|lemma_3966	lemma_3958	low	claude
WZB_115ra_23_4	ir	man mit ir breutet in	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_115ra_23_5	breutet	mit ir breutet in der	unmatched				
WZB_115ra_24_0	in	ir breutet in der czeit	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_115ra_24_1	der	breutet in der czeit des	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_115ra_24_3	des	der czeit des blutflusses vnreine	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_115ra_24_4	blutflusses	czeit des blutflusses vnreine wirt	unmatched				
WZB_115ra_25_0	wirt	blutflusses vnreine wirt her siben	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_115ra_25_1	her	vnreine wirt her siben tage	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825	lemma_1517	high	claude
WZB_115ra_26_0	ein	tage vnd ein yclich bette	ambiguous	lemma_119|lemma_13|lemma_1331|lemma_2975	lemma_1331	high	claude
WZB_115ra_26_2	bette	ein yclich bette in dem	ambiguous	lemma_11508|lemma_52148|lemma_615|lemma_621|lemma_634	lemma_634	high	claude
WZB_115ra_26_4	in	yclich bette in dem her	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_115ra_26_5	dem	bette in dem her slefet	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
