form	match_type	count	candidate_lemmas	sample_context	resolved_lemma	confidence	note
in	ambiguous	3486	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	Dem Der in rechter tugende			
des	ambiguous	1616	lemma_1097|lemma_1119|lemma_1186	lone Criste des ewigen vaters			
ir	ambiguous	1122	lemma_1517|lemma_5454|lemma_56116|lemma_56117	mich mugt ir nicht getvn			
im	ambiguous	679	lemma_10734|lemma_1517|lemma_1762	heilicheit Gib im herre steticheit			
sein	ambiguous	677	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432	noch vorsperret sein So das			
ł	unmatched	514		es also ł wolde sagen			
werden	ambiguous	464	lemma_62628|lemma_7489|lemma_7500	hat Dem werden getrewen diener			
man	ambiguous	426	lemma_3909|lemma_3957|lemma_3958|lemma_3966	er in man vnd wip			
e	ambiguous	144	lemma_10937|lemma_1281|lemma_3004	vnd erden e wenne alle			
gepot	ambiguous	140	lemma_1971|lemma_1978	gee Und gepot mannen vber			
habe	ambiguous	111	lemma_2593|lemma_2598	sprach Besessen habe ich einen			
werde	ambiguous	107	lemma_7489|lemma_7500|lemma_7644	als ein werde rose Sterck			
CAPITULUM	unmatched	106		tag II CAPITULUM Uolkvmen sint			
In	ambiguous	95	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	aller stvnt In PROLOGUS trewen			
wustenunge	unmatched	92		in der wustenunge vnd sein			
mer	ambiguous	89	lemma_3001|lemma_3922|lemma_4034|lemma_4035|lemma_4086|lemma_79808	her die mer Vnd got			
EXO	unmatched	88		Dornach hebit EXO sich an			
DUS	ambiguous	88	lemma_21148|lemma_8073	weile ein DUS newer kvnig			
ERI	unmatched	86		ouf Aber ERI ouf slahen			
-	unmatched	80		aus also - e toho			
DEUTRO	unmatched	79		die vnser DEUTRO herre gepoten			
NOMIUS	unmatched	79		in dem NOMIUS virczigisten iare			
GENE	unmatched	76		irm W GENE geslechte giengen			
SIS	ambiguous	76	lemma_56951|lemma_8004|lemma_8694	aller wilden SIS tir wil			
U	ambiguous	72	lemma_2|lemma_56117	euch schencken U Und mit			
scot	unmatched	69		silbereiner schot scot wert Das			
vorchte	ambiguous	49	lemma_7201|lemma_7298	in vnd vorchte mich do			
fur	ambiguous	47	lemma_6761|lemma_7108|lemma_7194|lemma_7283|lemma_7292	wir hin fur Und do			
LEUITICUS	unmatched	47		geczeldis U LEUITICUS Und die			
ousseczikeit	unmatched	46		slac der ousseczikeit Den fure			
toho	unmatched	45		W zde toho GENESIS ir			
tu	ambiguous	42	lemma_1242|lemma_6301	bozes sal tu nicht essen			
opfertir	unmatched	41		im geopfert opfertir vnd habn			
Ir	ambiguous	40	lemma_1517|lemma_5454|lemma_56116|lemma_56117	gegebin hat Ir gleichen awentewer			
sammen	ambiguous	40	lemma_5089|lemma_5090	himel sint sammen sich an			
menedis	unmatched	40		tage des menedis zu brochen			
wegen	ambiguous	40	lemma_51511|lemma_7431|lemma_7439|lemma_75877|lemma_9621	den stein wegen von dem			
mageschaft	unmatched	38		von deiner mageschaft vnd von			
Rede	ambiguous	36	lemma_4826|lemma_4830	antworte im Rede Ich bins			
en	ambiguous	34	lemma_1331|lemma_1517|lemma_3028|lemma_4377|lemma_53169|lemma_5454|lemma_56116	erden noch en wil d			
ŏl	unmatched	34		vnd gos ŏl dor ouf			
dovm	unmatched	33		vnd dreissick dovm elen ir			
vorchten	ambiguous	32	lemma_7201|lemma_7298	vnd sie vorchten sich alle			
wolle	ambiguous	31	lemma_7473|lemma_7693	vnd gestreifter wolle sint vnd			
gemeiligt	unmatched	31		nicht werden gemeiligt Wenne vnser			
pergis	unmatched	31		spicze des pergis vnd halden			
veisticheit	unmatched	30		von der veisticheit der erden			
heiligtumes	unmatched	30		wage des heiligtumes Und ŏl			
tŏchter	unmatched	29		svne vnd tŏchter Und gemacht			
thoho	unmatched	29		m ca thoho pzde thoho			
stund	ambiguous	28	lemma_5710|lemma_5842	vorwar der stund noch vor			
Des	ambiguous	26	lemma_1097|lemma_1119|lemma_1186	gnaden stew̆er Des heiligen geistes			
fure	ambiguous	26	lemma_6761|lemma_7108|lemma_7283|lemma_7292	sint die fure ous der			
hŏe	unmatched	26		vnd ir hŏe rurte an			
few̆er	unmatched	25		in dem few̆er Und sie			
heiligtum	unmatched	25		herre Dein heiligtum herre das			
ŏle	unmatched	24		vnd gos ŏle dorouf vnd			
gŏten	unmatched	24		len egiptischen gŏten wil ich			
reichen	ambiguous	23	lemma_4842|lemma_4872|lemma_4875	in iren reichen ein yclicher			
wert	ambiguous	23	lemma_13508|lemma_7489|lemma_7496|lemma_7500|lemma_7505|lemma_9266	gegen zuden wert Es was			
streit	ambiguous	23	lemma_5815|lemma_5818	gelobten einen streit kegen dem			
gŏte	unmatched	23		gestoln meine gŏte ̃ Und			
weise	ambiguous	23	lemma_7462|lemma_7537|lemma_7538|lemma_7549	vnder in weise vnd vornunftige			
vorhank	unmatched	23		werden ein vorhank von czweinczig			
ganczenczuntem	unmatched	23		ander zu ganczenczuntem opfer Und			
hute	ambiguous	22	lemma_2863|lemma_2939|lemma_2942|lemma_2947|lemma_2963	vnd sein hute Und got			
pzde	unmatched	22		herren toho pzde toho toho			
̃	unmatched	21		hastu getan ̃ Die stimme			
X	ambiguous	21	lemma_13826|lemma_2	CAPITULUM I X vnd seinen			
stunden	ambiguous	20	lemma_5710|lemma_5842	czu disen stunden Getrewe vber			
doum	unmatched	20		vmbhenge funfczig doum elen lanck			
mere	ambiguous	19	lemma_3922|lemma_4034|lemma_4035|lemma_4086	Im roten mere czu Ertrenkte			
getreides	unmatched	19		do genug getreides weines vnd			
bzde	unmatched	19		gespro thoho bzde thoho EXO			
erstlinge	unmatched	19		sint die erstlinge vnd die			
geperungen	unmatched	18		in seinen geperungen Mit gote			
camelen	unmatched	18		eslinne vnd camelen Aber vnser			
჻	unmatched	18		was ir ჻ hec dicit			
ichtesicht	unmatched	18		seinem nehsten ichtesicht der leie			
iacincten	unmatched	18		do heissen iacincten vnd purpur			
hŏre	unmatched	17		dir saget hŏre ir stimme			
vnreinikeit	unmatched	17		posheit vnd vnreinikeit vnd svnde			
