file;xml_id;form;corresp;vers_n;vorvers;vers;folgevers;entscheidung;anmerkung
CHH.tei.xml;CHH_35880_2;wæren;variants.xml#type_273624;3588;daz ir uns recht tuet bechant;durch der **wæren** minne bant;diu iu hat gebunden;;
ENG.tei.xml;ENG_6217_2;wâren;variants.xml#type_273621;6217;in haete enzündet gotes geist;und der **wâren** minne gluot;daz er sîner kinde bluot;;
FR3.tei.xml;FR3_112206030480_3;woren;variants.xml#type_273713;48;daz es sich uff entslisse;baz gein der **woren** minne;so blibet an mir wernde;;
GRG.tei.xml;GRG_9690_3;wâren;variants.xml#type_273621;969;wart waz dâ wirt fröuden schîn;si habent die **wâren** minne;ez treit diu küniginne;;
HTR.tei.xml;HTR_30430_3;wâren;variants.xml#type_273621;3043;als uns selber ûzen und innen;swelch münich der **wâren** minne enbirt;âne nuz er sîn hâr abe schirt;;
HTR.tei.xml;HTR_30450_3;wâren;variants.xml#type_273621;3045;âne nuz er sîn hâr abe schirt;wenne swer die **wâren** minne hât;des herze ist ân missetât;;
HTR.tei.xml;HTR_87080_4;wâren;variants.xml#type_273621;8708;des herze mêre nâch boesem gewinne;stêt denne nâch der **wâren** minne;blî nazzer sant wart nie sô swêr;;
HTR.tei.xml;HTR_132360_4;wâren;variants.xml#type_273621;13236;daz ich daz minne beide ûzen und inne;daz mich beroube der **wâren** minne;swem liebet ze sêre der werlde guot;;
HTR.tei.xml;HTR_210240_2;wâren;variants.xml#type_273621;21024;alliu dîn glôrie ist enwiht;hâstu der **wâren** minne niht;wizzet daz niur vierleie liute;;
KWL.tei.xml;KWL_1014_1;wâren;variants.xml#type_273621;14;nu schenke uns in des herzen kopf;der **wâren** minne süezekeit;dû trüege wîlent grâwen schopf;;
PRT.tei.xml;PRT_16655_3;wâren;variants.xml#type_273621;16655;er hât ûf kiuschen muot geleit;und ûf die **wâren** minne;sîn leben und die sinne;;
RLS.tei.xml;RLS_10319_2;wâren;variants.xml#type_273621;19;heizer brinnet;in der **wâren** minne glüete;her diu menscheit minnet;;
SES.tei.xml;SES_120040_2;wâren;variants.xml#type_273621;4;zünde enbrenne mîne sinne;in der **wâren** minne gluot;dâ ich inne werde gereinet;;
SFL.tei.xml;SFL_890_5;wâren;variants.xml#type_273621;89;ê ich der rede nû beginne;sô bite ich in der **wâren** minne;die diz buoch hoeren oder lesen;;
SFL.tei.xml;SFL_7350_2;wâren;variants.xml#type_273621;735;von der wart er gar enzunt;in der **wâren** minne;ern wolt niht mêre lâzen drinne;;
SFL.tei.xml;SFL_16150_2;wâren;variants.xml#type_273621;1615;ir herze ir sin als ein gluot;in der **wâren** minne bran;swâ sie einander quâmen an;;
SFL.tei.xml;SFL_19370_4;wâren;variants.xml#type_273621;1937;alsô was ein geist und ein sin;si gehullen in der **wâren** minne;mit werchen ûzen unde inne;;
SFL.tei.xml;SFL_31910_3;wâren;variants.xml#type_273621;3191;er was einvalt in rîchem sinne;gehôrsam in der **wâren** minne;süezer site und ernesthaft;;
SFL.tei.xml;SFL_32740_3;wâren;variants.xml#type_273621;3274;daz mînes herzen sinne;wurden ginnert der **wâren** minne;swer mit der wirt reht enzunt;;
SVW.tei.xml;SVW_1031200_9;wâren;variants.xml#type_273621;12;ein spiegelglanz der engelschar;kristes muoter reiniu maget hilf mir der **wâren** minne;lâ mih der lobe geniezzen diu ich hân von dir geseit;;
TRH.tei.xml;TRH_68580_3;wâren;variants.xml#type_273621;6858;herzen muot und sinne;hin zu der **wâren** minne;die unzurgenclîch immer ist;;
TRO.tei.xml;TRO_7811_3;wâren;variants.xml#type_273621;7811;ir ist ze rehter liebe gâch;und ûf der **wâren** minne pfat;diz wart bewaeret an der stat;;
TRU.tei.xml;TRU_21500_1;wâren;variants.xml#type_273621;215;unde enphalch si der minne;der **wâren** minne unde ouch der;der manec herze ist in ger;;
TRU.tei.xml;TRU_25000_3;wâren;variants.xml#type_273621;250;der vüege wie er ir entrinne;und minne die **wâren** minne;diu dâ niemer zergât;;
TSY.tei.xml;TSY_248_2;wâren;variants.xml#type_273621;248;in dem inren sinne;zuo der **wâren** minne;in mac ouch wol belangen sêre;;
TSY.tei.xml;TSY_484_3;wâren;variants.xml#type_273621;484;ez kumt ouch darzuo dicke;daz in der **wâren** minne stricke;diu sêle unwizzende geliget;;
TSY.tei.xml;TSY_492_4;wâren;variants.xml#type_273621;492;von der sie sich ein teil verstêt;wie man in der **wâren** minne;mit solher liebe umbegêt;;
TSY.tei.xml;TSY_2023_2;wâren;variants.xml#type_273621;2023;diu galle treit haz unde nît;swer der **wâren** minne phlît;der hât die güete âne gallen;;
TSY.tei.xml;TSY_2460_1;wâren;variants.xml#type_273621;2460;daz muoz in dem stricke;der **wâren** minne geschehen;ich hoer des den edeln vogeln jehen;;
TSY.tei.xml;TSY_2909_3;wâren;variants.xml#type_273621;2909;und funde wir niht drinne;daz sich der **wâren** minne;iht gelîchen mohte;;
TSY.tei.xml;TSY_2957_2;wâren;variants.xml#type_273621;2957;sô daz herze wirt enzunt;in der **wâren** minne;sô enkunnen niht wol ze sinne;;
TSY.tei.xml;TSY_3115_2;wâren;variants.xml#type_273621;3115;der hât vil durh uns getân;nâch der **wâren** minne râte;nu sul wir im sîn undertân;;
TSY.tei.xml;TSY_3350_2;wâren;variants.xml#type_273621;3350;ich füere verre deste baz;swer diu **wâren** minne hât;des herze gibt ouch wîsen rât;;
TSY.tei.xml;TSY_3362_4;wâren;variants.xml#type_273621;3362;alsam ist swer sich daz nem an;daz er ân die **wâren** minne;der êren wolde werden inne;;
TSY.tei.xml;TSY_3395_3;wâren;variants.xml#type_273621;3395;ûz dem herzen slinden;wil sie der **wâren** minne enphinden;diu ie nâch gotes hulden ranc;;
WGL.tei.xml;WGL_82670_3;wâren;variants.xml#type_273621;8267;si was gewizzen unde guot;und truoc die **wâren** minne;mit zühticlîchem sinne;;
WGL.tei.xml;WGL_84090_3;wâren;variants.xml#type_273621;8409;mit herzen und mit sinne;er truoc die **wâren** minne;ir mit ganzer staeticheit;;
WGL.tei.xml;WGL_90500_2;wâren;variants.xml#type_273621;9050;her gwîgâlois durch sîne zuht;vermeit der **wâren** minne vruht;daz er ir minne niene pflac;;
WVV.tei.xml;WVV_1111010400_9;wâren;variants.xml#type_273621;4;wie getar ich sô gevreveln under dîme rîse;ich entuon diu rehten werk ich enhân die **wâren** minne;ze mînem ebenkristen hêrre vater noch ze dir;;
WVV.tei.xml;WVV_1143040700_1;wâren;variants.xml#type_273621;7;und giht ez sî ein lüge ich tobe;der **wâren** minne giht si ganzer stætekeit;wie guot si sî wie si iemer wer;;
