xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_68ra_27_3	des	die mitte des roten meres	ambiguous	lemma_1097|lemma_1119|lemma_1186			
WZB_68ra_27_4	roten	mitte des roten meres Aber	ambiguous	lemma_10839|lemma_11330|lemma_4954|lemma_4978			
WZB_68ra_28_2	Aber	roten meres Aber ich wil	ambiguous	lemma_18792|lemma_35			
WZB_68ra_28_4	wil	Aber ich wil herten der	ambiguous	lemma_7473|lemma_7529|lemma_7620			
WZB_68ra_28_5	herten	ich wil herten der hercze	ambiguous	lemma_13697|lemma_2787|lemma_2789|lemma_2795			
WZB_68ra_28_6	der	wil herten der hercze so	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_68ra_28_10	das	hercze so das sie euch	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_68ra_28_11	sie	so das sie euch noch	ambiguous	lemma_5432|lemma_5454|lemma_56116			
WZB_68ra_29_0	noch	sie euch noch volgen Und	ambiguous	lemma_14402|lemma_4281|lemma_4415			
WZB_68ra_29_6	werde	Und ich werde geeret in	ambiguous	lemma_7489|lemma_7500|lemma_7644			
WZB_68ra_30_1	in	werde geeret in vnd in	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_68ra_30_4	in	in vnd in alle seinem	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_68ra_31_1	her	alle seinem her vnd in	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825			
WZB_68ra_31_4	in	her vnd in seinen wegen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_68ra_31_6	wegen	in seinen wegen vnd in	ambiguous	lemma_51511|lemma_7431|lemma_7439|lemma_75877|lemma_9621			
WZB_68ra_32_2	in	wegen vnd in seine reitende	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_68ra_32_3	seine	vnd in seine reitende v	ambiguous	lemma_1517|lemma_19022|lemma_5377			
WZB_68ra_32_4	reitende	in seine reitende v Und	unmatched				
WZB_68ra_33_2	werden	Und alle werden wis DUS	ambiguous	lemma_62628|lemma_7489|lemma_7500			
WZB_68ra_33_3	wis	alle werden wis DUS sen	ambiguous	lemma_7505|lemma_7537|lemma_7538|lemma_7540|lemma_7549|lemma_7659			
WZB_68rb_1_0	DUS	werden wis DUS sen wenne	ambiguous	lemma_21148|lemma_8073			
WZB_68rb_2_0	sen	wis DUS sen wenne ich	ambiguous	lemma_5366|lemma_5397|lemma_5401			
WZB_68rb_2_6	herre	ich bin herre wenne ich	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_68rb_3_1	werde	wenne ich werde geeret in	ambiguous	lemma_7489|lemma_7500|lemma_7644			
WZB_68rb_3_3	in	werde geeret in herren vnd	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_68rb_3_4	herren	geeret in herren vnd in	ambiguous	lemma_2684|lemma_42447			
WZB_68rb_4_2	in	herren vnd in seinen wegen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_68rb_4_4	wegen	in seinen wegen vnd in	ambiguous	lemma_51511|lemma_7431|lemma_7439|lemma_75877|lemma_9621			
