form	resolved_lemma	confidence	note
gewande	lemma_2331	high	NOM gewant (garment/vestment, dative); all contexts are "sneweissen gewande", "an dem gewande", "heiligen gewande" — priestly/festive garment; same lemma as resolved gewant/Gewant; lemma_7479=wât is different
bereite	lemma_527	high	VRB bereiten (prepared/made ready, past 3sg or 3sg present); all contexts are "bereite er xxxix", "bereite das", "bereite vnd secze" — preparation ritual (altar/offerings); lemma_526=bereit (ADJ ready) is adjacent but VRB form fits all contexts
sleht	lemma_5525	high	VRB slahen (strikes/smites, 3sg present); all contexts are "sleht ein schar", "ous sleht seinem knechte", "do vorholn sleht seinen nehsten" — Exod legal code striking; same lemma as resolved slecht; lemma_5532=sleht (ADJ simple/straight) does not fit
gesellen	lemma_2213	high	NOM geselle (companion/man, plural genitive/accusative); all contexts are "seine gesellen", "etliche gesellen mit dir", "gepot gesellen" — military companions; lemma_2216=gesellen (VRB to accompany) does not fit NOM plural pattern
lenden	lemma_3702	high	NOM lenden (loin/flank, plural); all contexts are "ous deinen lenden" (from your loins), "Ew̆er lenden sult ir" (gird your loins Exod 12:11), "bedecken die lenden" — body part; lemma_3604=lant (NOM land) is a false positive
rot	lemma_4954	high	ADJ rôt (red/ruddy); all contexts are "der was rot vnd alczu" (Esau was ruddy Gen 25:25), "rot czwir geverbet" (twice-dyed red), "purpur vnd rot" — color descriptor; lemma_10840=roete (NOM redness) is different
neren	lemma_4335	high	VRB nern (to nourish/feed, infinitive); all contexts are "ich dich neren", "schaf czu neren", "wil euch neren", "priester sol neren" — pastoral and divine feeding; lemma_4334=Nere (proper noun) is wrong
wint	lemma_7638	high	NOM wint (wind, accusative/nominative); all contexts are "furte einen wint", "einen durren wint", "einen grosen wint" — Exodus plague wind and divine wind; lemma_7631=winden (VRB to wind) is different
Recke	lemma_4825	high	VRB recken (stretch/extend, imperative); all contexts are "Recke dein hant" (stretch your hand), "Recke ous dein" — divine command to Moses to stretch his hand over sea/waters; lemma_4824=recke (NOM warrior) is different
bein	lemma_471	high	NOM bein (bone/leg, nominative/accusative/plural); all contexts are "mein bein vnd bist" (my bone and flesh Gen 2:23), "seiner bein nicht zu", "sein bein sullen sie" — body part; lemma_4664=pîn (NOM pain) is a false variant match
